predicting_position,top1_correct,top3_correct,top5_correct,top10_correct
1,0.10687022900763359,0.24427480916030533,0.33587786259541985,0.5419847328244275
2,0.19083969465648856,0.45038167938931295,0.5801526717557252,0.7786259541984732
3,0.29770992366412213,0.5267175572519084,0.6641221374045801,0.7633587786259542
4,0.0916030534351145,0.21374045801526717,0.31297709923664124,0.5190839694656488
5,0.21374045801526717,0.4732824427480916,0.6030534351145038,0.7938931297709924
6,0.13740458015267176,0.2824427480916031,0.46564885496183206,0.6412213740458015
7,0.1297709923664122,0.25190839694656486,0.4198473282442748,0.5877862595419847
8,0.2595419847328244,0.549618320610687,0.6564885496183206,0.816793893129771
9,0.13740458015267176,0.22900763358778625,0.31297709923664124,0.5572519083969466
10,0.04580152671755725,0.12213740458015267,0.21374045801526717,0.37404580152671757
11,0.061068702290076333,0.15267175572519084,0.20610687022900764,0.3893129770992366
12,0.061068702290076333,0.1450381679389313,0.20610687022900764,0.3816793893129771
13,0.0916030534351145,0.26717557251908397,0.4122137404580153,0.5877862595419847
14,0.061068702290076333,0.22900763358778625,0.3435114503816794,0.5114503816793893
15,0.10687022900763359,0.26717557251908397,0.3816793893129771,0.5114503816793893
16,0.061068702290076333,0.15267175572519084,0.22900763358778625,0.3435114503816794
17,0.05343511450381679,0.183206106870229,0.2748091603053435,0.3893129770992366
18,0.10687022900763359,0.22137404580152673,0.32061068702290074,0.5419847328244275
19,0.1984732824427481,0.29770992366412213,0.3816793893129771,0.6030534351145038
20,0.07633587786259542,0.16793893129770993,0.1984732824427481,0.33587786259541985
21,0.07633587786259542,0.1984732824427481,0.25190839694656486,0.3816793893129771
22,0.061068702290076333,0.20610687022900764,0.2748091603053435,0.42748091603053434
23,0.11450381679389313,0.22900763358778625,0.3053435114503817,0.40458015267175573
24,0.08396946564885496,0.16030534351145037,0.2595419847328244,0.42748091603053434
25,1.0,1.0,1.0,1.0
